City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,pangoa,-12.1167,-73.0,32.0,47,71,2.63,PE,1706897029
310,beyneu,45.3167,55.2,1.27,83,98,6.09,KZ,1706897029
311,el viejo,12.6633,-87.1672,32.12,45,20,2.06,NI,1706897029
312,hammerfest,70.6634,23.6821,-6.75,73,0,3.09,NO,1706897029
313,belmonte,-15.8631,-38.8828,28.79,65,100,3.72,BR,1706897030
314,revda,56.801,59.9303,-14.07,98,100,3.24,RU,1706897030
315,mesquite,32.7668,-96.5992,18.36,89,100,3.6,US,1706897030
316,codrington,-38.2667,141.9667,9.46,89,1,2.52,AU,1706897030
317,tutoia,-2.7619,-42.2744,28.8,72,79,5.09,BR,1706896874
318,dullewala,31.8359,71.4362,13.86,32,91,3.31,PK,1706897031
319,feodosiya,45.0333,35.3833,4.48,74,100,6.44,UA,1706897031
320,sinop,41.7711,34.8709,4.24,96,100,1.56,TR,1706897031
321,usogorsk,63.4106,48.6872,-4.63,95,100,3.74,RU,1706897031
322,camalu,30.85,-116.0667,13.14,67,31,5.7,MX,1706897032
323,sechura,-5.5569,-80.8222,29.76,58,84,4.78,PE,1706897032
324,price,39.5994,-110.8107,1.73,100,100,0.0,US,1706897032
325,qarauyl,48.9451,79.255,-14.58,82,39,7.5,KZ,1706897032
326,esil,51.9556,66.4042,-6.67,95,99,5.84,KZ,1706897032
327,port isabel,26.0734,-97.2086,25.04,75,100,9.77,US,1706897033
328,ouesso,1.6136,16.0517,28.23,30,22,0.22,CG,1706897033
329,salym,60.0625,71.4789,-21.84,100,63,1.72,RU,1706897033
330,cabedelo,-6.9811,-34.8339,32.37,63,26,6.38,BR,1706897033
331,hadibu,12.65,54.0333,25.2,79,22,1.57,YE,1706897034
332,tekkali,18.6167,84.2333,22.32,86,82,1.87,IN,1706897034
333,kostomuksha,64.571,30.5767,-17.2,98,29,1.79,RU,1706897034
334,ulan bator,47.9077,106.8832,-32.93,62,5,2.0,MN,1706896812
